[2023-11-26 20:03:36,236: INFO: main: Welcome to our custom log]
[2023-11-26 20:05:44,439: INFO: main: Welcome to our custom log]
[2023-11-26 21:51:54,291: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-11-26 21:51:54,370: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-26 21:51:54,385: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-26 21:51:54,432: INFO: common: created directory at: artifacts]
[2023-11-26 21:51:54,432: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-26 21:51:54,432: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-26 21:53:10,156: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-26 21:53:12,433: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
